Name: 潮州综合, URL: http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20260101, From: whitelist, IPv_Type: None, Location: None, ISP: None, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 潮州综合, URL: http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=UPmGsF&tk=EuWQIWwVA7n1, From: whitelist, IPv_Type: None, Location: None, ISP: None, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 潮州综合, URL: http://183.236.43.98:4013/udp/239.253.43.70:5146, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 移动, Date: None, Delay: 379 ms, Speed: 0.96 M/s, Resolution: 1920x1080
Name: 潮州综合, URL: http://27.41.245.32:801/hls/200/index.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-汕头, ISP: 联通, Date: None, Delay: 5638 ms, Speed: 0.76 M/s, Resolution: 720x576
Name: 潮州综合, URL: http://pr.19760929.xyz:9688/rtp/239.253.43.70:5146, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-珠海, ISP: 电信, Date: None, Delay: 633 ms, Speed: 0.50 M/s, Resolution: None
Name: 潮州综合, URL: http://183.239.108.37:1698/hls/8/index.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-东莞, ISP: 移动, Date: None, Delay: 10253 ms, Speed: 0.10 M/s, Resolution: None
Name: 潮州综合, URL: http://gd.wsd.gd.cn:1698/hls/8/index.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-东莞, ISP: 移动, Date: None, Delay: 10706 ms, Speed: 0.03 M/s, Resolution: None
Name: 潮州民生, URL: http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20260101, From: whitelist, IPv_Type: None, Location: None, ISP: None, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 潮州民生, URL: http://kkk.888.3116598.xyz/api.php?n=Bpjt&id=VGsfIL&tk=EuWQIWwVA7n1, From: whitelist, IPv_Type: None, Location: None, ISP: None, Date: None, Delay: -1 ms, Speed: 0.00 M/s, Resolution: None
Name: 潮州民生, URL: http://pr.19760929.xyz:9688/rtp/239.253.43.75:5146, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-珠海, ISP: 电信, Date: None, Delay: 635 ms, Speed: 0.50 M/s, Resolution: None
Name: 潮州民生, URL: http://ymz.stkeyu.top:8303/udp/239.253.43.75:5146, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-广州, ISP: 电信, Date: None, Delay: 1236 ms, Speed: 0.12 M/s, Resolution: None
Name: 潮州民生, URL: http://183.239.108.37:1698/hls/9/index.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-东莞, ISP: 移动, Date: None, Delay: 10242 ms, Speed: 0.08 M/s, Resolution: None
Name: 潮州民生, URL: http://gd.wsd.gd.cn:1698/hls/9/index.m3u8, From: subscribe, IPv_Type: ipv4, Location: 中国-广东-东莞, ISP: 移动, Date: None, Delay: 10736 ms, Speed: 0.03 M/s, Resolution: None
