🐼移动央视频道,#genre#
CCTV1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1

CCTV2,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2

CCTV3,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3

CCTV4,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4

CCTV5,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5

CCTV5+,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5p

CCTV6,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6

CCTV7,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7

CCTV8,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV8

CCTV9,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV9

CCTV10,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV10

CCTV11,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV11

CCTV12,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV12

CCTV13,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV13

CCTV14,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV14

CCTV15,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV15

CCTV16,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV16

CCTV17,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV17

CHC家庭影院,http://qwt.zhibotv.top:2016/全网通.php?id=CHC家庭影院

CHC高清电影,http://qwt.zhibotv.top:2016/全网通.php?id=CHC影迷电影

CHC动作电影,http://qwt.zhibotv.top:2016/全网通.php?id=CHC动作电影

湖南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖南卫视

浙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=浙江卫视

江苏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江苏卫视

广东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广东卫视

东方卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东方卫视

东南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东南卫视

辽宁卫视,http://qwt.zhibotv.top:2016/全网通.php?id=辽宁卫视

深圳卫视,http://qwt.zhibotv.top:2016/全网通.php?id=深圳卫视

天津卫视,http://qwt.zhibotv.top:2016/全网通.php?id=天津卫视

安徽卫视,http://qwt.zhibotv.top:2016/全网通.php?id=安徽卫视

河北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河北卫视

重庆卫视,http://qwt.zhibotv.top:2016/全网通.php?id=重庆卫视

吉林卫视,http://qwt.zhibotv.top:2016/全网通.php?id=吉林卫视

黑龙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=黑龙江卫视

山东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山东卫视

海南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=海南卫视

贵州卫视,http://qwt.zhibotv.top:2016/全网通.php?id=贵州卫视

湖北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖北卫视

凤凰中文,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文

凤凰资讯,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯

CCTV1,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228318/1/index.m3u8?fmt=ts2hls
CCTV1,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236222/index.m3u8?fmt=ts2hls
CCTV2,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228348/1/index.m3u8?fmt=ts2hls
CCTV2,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236393/index.m3u8?fmt=ts2hls
CCTV3,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236284/index.m3u8?fmt=ts2hls
CCTV3,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236244/index.m3u8?fmt=ts2hls
CCTV4,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229749/1/index.m3u8?fmt=ts2hls
CCTV4,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236378/index.m3u8?fmt=ts2hls
CCTV4,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236335/index.m3u8?fmt=ts2hls
CCTV4,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236442/index.m3u8?fmt=ts2hls
CCTV5,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232648/1/index.m3u8?fmt=ts2hls
CCTV5+,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229684/1/index.m3u8?fmt=ts2hls
CCTV5,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236444/index.m3u8?fmt=ts2hls
CCTV5+,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236306/index.m3u8?fmt=ts2hls
CCTV6,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236294/index.m3u8?fmt=ts2hls
CCTV7,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228330/1/index.m3u8?fmt=ts2hls
CCTV7,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236219/index.m3u8?fmt=ts2hls
CCTV8,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232645/1/index.m3u8?fmt=ts2hls
CCTV8,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236211/index.m3u8?fmt=ts2hls
CCTV9,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228342/1/index.m3u8?fmt=ts2hls
CCTV9,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236246/index.m3u8?fmt=ts2hls
CCTV10,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228327/1/index.m3u8?fmt=ts2hls
CCTV10,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236238/index.m3u8?fmt=ts2hls
CCTV11,http://39.134.183.42:6610/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221232449/1/index.m3u8?fmt=ts2hls
