🐼移动央视频道,#genre#
CCTV1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1

CCTV2,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2

CCTV3,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3

CCTV4,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4

CCTV5,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5

CCTV5+,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5p

CCTV6,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6

CCTV7,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7

CCTV8,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV8

CCTV9,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV9

CCTV10,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV10

CCTV11,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV11

CCTV12,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV12

CCTV13,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV13

CCTV14,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV14

CCTV15,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV15

CCTV16,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV16

CCTV17,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV17

CHC家庭影院,http://qwt.zhibotv.top:2016/全网通.php?id=CHC家庭影院

CHC高清电影,http://qwt.zhibotv.top:2016/全网通.php?id=CHC影迷电影

CHC动作电影,http://qwt.zhibotv.top:2016/全网通.php?id=CHC动作电影

湖南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖南卫视

浙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=浙江卫视

江苏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江苏卫视

广东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广东卫视

东方卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东方卫视

东南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东南卫视

辽宁卫视,http://qwt.zhibotv.top:2016/全网通.php?id=辽宁卫视

深圳卫视,http://qwt.zhibotv.top:2016/全网通.php?id=深圳卫视

天津卫视,http://qwt.zhibotv.top:2016/全网通.php?id=天津卫视

安徽卫视,http://qwt.zhibotv.top:2016/全网通.php?id=安徽卫视

河北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河北卫视

重庆卫视,http://qwt.zhibotv.top:2016/全网通.php?id=重庆卫视

吉林卫视,http://qwt.zhibotv.top:2016/全网通.php?id=吉林卫视

黑龙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=黑龙江卫视

山东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山东卫视

海南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=海南卫视

贵州卫视,http://qwt.zhibotv.top:2016/全网通.php?id=贵州卫视

湖北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖北卫视

凤凰中文,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文

凤凰资讯,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯



广东移动,#genre#
CCTV1,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226737/1.m3u8
CCTV2,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226739/1.m3u8
CCTV3,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226720/1.m3u8
CCTV4,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226725/1.m3u8
CCTV5,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226731/1.m3u8
CCTV5+,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226711/1.m3u8
CCTV6,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226699/1.m3u8
CCTV7,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226721/1.m3u8
CCTV8,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226715/1.m3u8
CCTV9,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226651/1.m3u8
CCTV10,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226708/1.m3u8
CCTV11,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226714/1.m3u8
CCTV12,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226723/1.m3u8
CCTV13,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226717/1.m3u8
CCTV14,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226645/1.m3u8
CCTV15,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226648/1.m3u8
CCTV16,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226825/1.m3u8
CCTV17,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226660/1.m3u8

安徽卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226664/1.m3u8
北京卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226719/1.m3u8
东方卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226734/1.m3u8
东南卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226670/1.m3u8
贵州卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226672/1.m3u8
海南卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226679/1.m3u8
河北卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226684/1.m3u8
河南卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226668/1.m3u8
深圳卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226688/1.m3u8
四川卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226659/1.m3u8
天津卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226686/1.m3u8
浙江卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226690/1.m3u8
重庆卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226680/1.m3u8
黑龙江卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226716/1.m3u8
湖北卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226713/1.m3u8
湖南卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226698/1.m3u8
江苏卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226692/1.m3u8
江西卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226726/1.m3u8
辽宁卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226689/1.m3u8
山东卫视,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226693/1.m3u8
